number,champion,kills,deaths,assists,damage,damage migated,gold earned
1,Annie,Mid,6.3,5.8,7.9,21538.1,12060.0,11236.3
127,Lissandra,Mid,5.1,5.8,9.0,19309.9,12489.6,11196.9
23,Tryndamere,Top,5.8,5.9,3.8,17921.1,29418.9,12849.5
9,Fiddlesticks,Jungle,6.0,5.6,9.8,19317.0,19465.3,11345.7
235,Senna,Support,4.3,6.3,13.1,17656.5,9791.8,10119.2
92,Riven,Top,6.1,5.9,5.1,17594.3,34838.6,11939.8
420,Illaoi,Top,5.0,6.6,3.9,25317.6,35039.1,12578.6
238,Zed,Mid,7.9,5.9,5.7,22191.8,15422.7,12186.9
38,Kassadin,Mid,8.0,5.4,5.9,22123.1,19092.0,12098.4
268,Azir,Mid,5.7,5.3,6.9,22684.5,12911.5,11927.8
110,Varus,ADC,7.4,6.3,7.3,21718.1,11656.0,12656.7
21,Miss Fortune,ADC,6.9,6.2,8.1,23032.3,10426.2,12381.8
105,Fizz,Mid,8.3,5.8,6.3,20584.5,12873.2,12214.0
131,Diana,Jungle,7.5,6.1,7.9,20926.5,30567.4,12586.9
18,Tristana,ADC,7.8,5.8,6.2,20706.5,10418.7,13227.5
234,Viego,Jungle,7.8,5.9,7.0,18297.7,26980.0,12092.7
254,Vi,Jungle,6.8,6.2,8.4,17145.0,35418.2,11791.4
60,Elise,Jungle,7.3,5.7,8.0,18064.1,14515.2,11155.6
53,Blitzcrank,Support,2.0,6.0,13.3,8481.5,20807.1,7762.8
44,Taric,Support,1.5,6.0,14.2,5720.3,23884.4,7728.1
69,Cassiopeia,Mid,6.6,6.1,6.3,22485.6,14504.8,12074.2
236,Lucian,ADC,8.3,6.2,6.4,21861.0,10649.8,12875.0
221,Zeri,ADC,6.5,6.1,7.3,20721.0,13240.4,12264.9
76,Nidalee,Jungle,7.6,5.2,7.8,18754.2,16835.5,11787.9
126,Jayce,Top,5.5,6.4,5.7,22706.3,16125.1,12079.2
166,Akshan,Mid,8.3,6.4,5.9,22746.4,16771.5,12734.8
24,Jax,Top,5.8,6.3,4.1,19228.2,26750.5,11951.0
141,Kayn,Jungle,7.7,6.2,7.9,20805.4,29684.7,12641.2
164,Camille,Top,6.0,6.0,5.7,20408.2,31381.8,11409.2
222,Jinx,ADC,6.9,6.2,7.5,21502.1,9783.6,12493.6
64,Lee Sin,Jungle,6.7,6.0,8.9,15314.5,34455.0,11246.9
57,Maokai,Support,2.4,6.5,12.0,15605.8,17958.4,8171.7
20,Nunu & Willump,Jungle,4.3,5.7,12.5,12698.2,35613.8,10569.1
412,Thresh,Support,1.8,6.0,14.7,7194.7,19552.8,7880.4
89,Leona,Support,1.8,6.5,13.3,6771.5,25284.9,7708.3
96,Kog'Maw,ADC,7.8,6.4,7.2,26935.6,14068.2,12928.2
27,Singed,Top,4.2,5.8,8.5,19123.2,30831.3,11319.0
67,Vayne,ADC,7.5,6.3,5.8,20310.9,13586.4,12615.5
111,Nautilus,Support,1.9,6.5,13.5,7961.7,28586.4,7672.8
29,Twitch,ADC,9.0,6.5,7.0,24413.8,10583.7,12766.0
50,Swain,Support,4.5,7.1,12.2,19150.5,15780.9,9514.7
143,Zyra,Support,3.7,6.8,11.1,21144.6,7593.1,9554.2
429,Kalista,ADC,8.0,6.1,6.2,19220.2,14482.8,12994.5
22,Ashe,Support,2.5,6.5,13.5,17461.9,6989.6,8816.5
4,Twisted Fate,Mid,4.7,5.7,9.4,16425.0,11142.9,11523.3
5,Xin Zhao,Jungle,6.2,6.5,8.3,17661.5,30834.0,11235.5
119,Draven,ADC,7.9,6.6,5.9,22822.9,12796.0,13874.7
777,Yone,Mid,6.7,6.4,5.6,21231.8,26788.8,12393.9
523,Aphelios,ADC,6.3,6.5,6.3,20322.2,13324.7,11982.0
14,Sion,Top,4.1,6.8,6.2,19418.6,61287.0,12137.9
91,Talon,Jungle,8.2,6.0,7.3,21158.1,23751.5,13268.8
526,Rell,Support,1.8,6.8,14.3,7563.7,29281.3,7722.7
163,Taliyah,Mid,6.6,6.4,8.5,24030.9,10609.3,12151.8
360,Samira,ADC,8.7,6.8,6.2,21485.1,16633.9,13020.8
68,Rumble,Top,5.7,5.8,6.8,21769.1,20520.3,11237.6
19,Warwick,Jungle,7.7,6.6,8.4,16708.9,34711.7,11713.1
421,Rek'Sai,Jungle,8.4,6.0,7.6,17809.0,23075.6,11884.1
555,Pyke,Support,6.6,6.7,9.1,10657.9,13163.4,9627.0
12,Alistar,Support,1.7,6.3,13.8,7258.0,31724.6,7555.1
42,Corki,Mid,6.3,5.8,7.0,26524.1,12051.0,13208.9
133,Quinn,Top,7.1,6.9,6.2,22692.8,15155.0,12424.8
107,Rengar,Jungle,8.8,6.3,6.8,20636.5,23650.5,12976.3
55,Katarina,Mid,9.0,6.6,6.2,22514.4,16792.8,12088.3
157,Yasuo,Mid,6.2,6.8,5.6,18525.9,26893.0,12394.2
517,Sylas,Mid,7.0,6.7,6.9,20422.9,21045.7,11043.7
39,Irelia,Top,6.3,7.2,4.5,20564.0,28644.9,12700.2
246,Qiyana,Mid,8.2,6.5,6.1,22177.1,13960.0,12241.6
203,Kindred,Jungle,8.2,6.5,7.0,21145.6,15553.9,12501.4
11,Master Yi,Jungle,9.5,7.1,5.3,21374.9,23187.8,13102.6
30,Karthus,Jungle,7.9,7.0,9.7,31961.8,14492.3,13502.7
80,Pantheon,Support,5.3,7.8,9.7,15387.4,14717.7,9444.7
63,Brand,Support,5.2,8.2,10.0,23811.5,8668.0,10052.5
